"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
3.800000000E0,4.141215479E-2,4.580637058E-2,-2.663161080E-4
3.900000000E0,5.845638571E-2,4.980111220E-2,4.926847998E-3
4.000000000E0,6.844323976E-2,3.861583566E-3,5.459480214E-3
4.100000000E0,9.387642807E-2,-2.170476280E-2,-7.989483240E-3
4.200000000E0,1.838912726E-1,2.063949837E-2,1.464738594E-3
4.300000000E0,2.644518952E-1,4.167847090E-2,-1.518001816E-2
4.400000000E0,3.500725240E-1,4.926847998E-2,-2.516687221E-2
4.500000000E0,3.897536241E-1,2.303634334E-2,8.388957402E-3
4.600000000E0,4.037352197E-1,1.597896648E-2,2.649845275E-2
4.700000000E0,3.394198796E-1,1.557949232E-2,-3.328951350E-2
4.800000000E0,2.849582356E-1,1.571265037E-2,7.456851024E-3
4.900000000E0,2.125202542E-1,1.651159870E-2,3.089266853E-2
5.000000000E0,1.438106983E-1,2.423476583E-2,8.255799348E-3
5.100000000E0,6.990797835E-2,2.410160777E-2,1.731054702E-3
5.200000000E0,3.688478096E-2,2.676476885E-2,-1.584580843E-2
5.300000000E0,3.688478096E-2,4.034689036E-2,-2.982740410E-2
5.400000000E0,1.175785617E-1,2.543318831E-2,2.609897858E-2
5.500000000E0,2.037318226E-1,2.356897556E-2,1.251685708E-2
5.600000000E0,2.970756185E-1,1.917475978E-2,4.740426722E-2
5.700000000E0,3.464772565E-1,1.504686010E-2,1.478054399E-2
5.800000000E0,3.898867821E-1,2.330265945E-2,-1.371527956E-2
5.900000000E0,4.053331164E-1,2.356897556E-2,-3.209109101E-2
6.000000000E0,3.876230952E-1,2.157160475E-2,5.965480819E-2
6.100000000E0,2.797650715E-1,1.691107286E-2,-4.114583869E-2
6.200000000E0,2.020007679E-1,2.410160777E-2,-1.824265340E-2
6.300000000E0,1.653823031E-1,2.516687221E-2,2.663161080E-3
6.400000000E0,1.483380722E-1,1.584580843E-2,5.259743133E-2
6.500000000E0,7.483482635E-2,4.194478701E-2,-6.098638873E-2
6.600000000E0,8.149272905E-2,3.635214874E-2,3.036003631E-2
6.700000000E0,1.127848717E-1,3.222424907E-2,6.138586289E-2
6.800000000E0,1.439438564E-1,3.568635847E-2,-6.258428538E-3
6.900000000E0,2.158492055E-1,2.796319134E-2,-4.926847998E-3
7.000000000E0,3.012035181E-1,1.571265037E-2,-3.368898766E-2
7.100000000E0,3.719104448E-1,9.587379888E-3,1.331580540E-3
7.200000000E0,3.593935877E-1,2.396844972E-2,-2.037318226E-2
7.300000000E0,3.830957214E-1,2.796319134E-2,-3.328951350E-3
7.400000000E0,3.542004236E-1,2.210423696E-2,1.930791783E-2
7.500000000E0,3.499393659E-1,2.809634939E-2,3.701793901E-2
7.600000000E0,2.792324392E-1,2.756371718E-2,-1.997370810E-2
7.700000000E0,2.022670840E-1,2.117213059E-2,1.944107588E-2
7.800000000E0,6.990797835E-2,2.250371113E-2,-7.217166527E-2
7.900000000E0,1.023985435E-1,2.463423999E-2,9.587379888E-3
8.000000000E0,9.773801164E-2,3.195793296E-2,-5.725796322E-3
8.100000000E0,1.078580237E-1,3.075951047E-2,-1.358212151E-2
8.200000000E0,1.699096769E-1,2.783003329E-2,-4.660531890E-2
8.300000000E0,2.014681357E-1,2.516687221E-2,-2.170476280E-2
8.400000000E0,2.691124271E-1,2.649845275E-2,3.115898464E-2
8.500000000E0,2.942792993E-1,3.169161685E-2,-2.756371718E-2
8.600000000E0,4.255731406E-1,3.155845880E-2,-8.122641294E-3
8.700000000E0,4.314320950E-1,1.198422486E-2,-1.411475372E-2
8.800000000E0,3.519367367E-1,2.130528864E-2,-2.809634939E-2
8.900000000E0,3.238403873E-1,3.036003631E-2,-1.171790875E-2
9.000000000E0,2.945456154E-1,3.129214269E-2,-9.187905726E-3
9.100000000E0,2.752376976E-1,2.277002723E-2,3.781688734E-2
9.200000000E0,2.346244911E-1,1.731054702E-2,4.207794506E-2
9.300000000E0,1.420796436E-1,1.970739199E-2,-8.255799348E-3
9.400000000E0,8.695220926E-2,2.689792691E-2,1.930791783E-2
9.500000000E0,1.019990694E-1,2.037318226E-2,1.331580540E-2
9.600000000E0,1.215733033E-1,2.450108194E-2,-3.262372323E-2
9.700000000E0,2.067944579E-1,2.370213361E-2,2.902845577E-2
9.800000000E0,2.316950140E-1,2.716424302E-2,1.131843459E-2
9.900000000E0,3.046656276E-1,2.037318226E-2,5.539375046E-2
1.000000000E1,3.311640803E-1,2.143844669E-2,-5.060006052E-3
1.010000000E1,3.821636150E-1,3.009372020E-2,2.063949837E-2
1.020000000E1,4.303668305E-1,1.864212756E-2,5.113269274E-2
1.030000000E1,4.106594385E-1,2.689792691E-2,-5.992112430E-3
1.040000000E1,3.901530982E-1,2.237055307E-2,1.637844064E-2
1.050000000E1,3.142530074E-1,2.117213059E-2,-3.701793901E-2
1.060000000E1,2.817624423E-1,2.383529167E-2,4.127899674E-3
