"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"sp
1.450000000E1,-4.807005749E-2,-3.542004236E-2,1.797633729E-2
1.460000000E1,-6.111954679E-2,1.451422789E-2,-1.597896648E-3
1.470000000E1,-1.118527654E-2,-2.476739804E-2,-3.675162290E-2
1.480000000E1,8.149272905E-2,9.054747672E-3,-3.315635545E-2
1.490000000E1,2.274339562E-1,4.034689036E-2,-3.395530377E-2
1.500000000E1,3.328951350E-1,5.233111522E-2,-1.518001816E-2
1.510000000E1,4.448810584E-1,5.246427328E-2,-1.677791480E-2
1.520000000E1,4.949484867E-1,4.367584171E-2,-5.326322160E-4
1.530000000E1,4.379568396E-1,3.169161685E-2,-6.657902700E-3
1.540000000E1,3.850930922E-1,1.717738897E-2,-2.250371113E-2
1.550000000E1,2.527339865E-1,7.856325186E-3,-3.475425209E-2
1.560000000E1,1.292964704E-1,-6.258428538E-3,3.542004236E-2
1.570000000E1,6.125270484E-3,1.065264432E-2,4.127899674E-3
1.580000000E1,-3.755057123E-2,2.024002421E-2,-4.793689944E-3
1.590000000E1,-6.018744041E-2,1.984055005E-2,3.581951653E-2
1.600000000E1,3.914846788E-2,2.676476885E-2,-2.783003329E-2
1.610000000E1,1.181111939E-1,2.157160475E-2,2.796319134E-2
1.620000000E1,2.533997768E-1,2.876213966E-2,-1.198422486E-2
1.630000000E1,3.707120223E-1,3.049319437E-2,-1.251685708E-2
1.640000000E1,4.392884201E-1,2.929477188E-2,4.660531890E-3
1.650000000E1,4.388889460E-1,2.596582053E-2,2.130528864E-3
1.660000000E1,4.255731406E-1,4.127899674E-3,2.143844669E-2
1.670000000E1,3.494067337E-1,9.587379888E-3,1.478054399E-2
1.680000000E1,2.576608345E-1,-1.238369902E-2,-4.926847998E-3
1.690000000E1,1.402154309E-1,-7.456851024E-3,-4.926847998E-3
1.700000000E1,2.636529469E-2,-1.171790875E-2,1.411475372E-2
1.710000000E1,-2.583266248E-2,-1.837581145E-2,-2.396844972E-3
1.720000000E1,-3.062635242E-2,-2.130528864E-2,2.090581448E-2
1.730000000E1,3.968110009E-2,-2.836266550E-2,-3.328951350E-3
1.740000000E1,1.066596013E-1,-2.063949837E-2,2.050634032E-2
1.750000000E1,2.109223575E-1,-1.358212151E-2,3.994741620E-4
1.760000000E1,3.211772262E-1,-1.704423091E-2,-2.263686918E-2
1.770000000E1,4.198473443E-1,-1.677791480E-2,-7.190534916E-3
1.780000000E1,4.801679427E-1,-7.723167132E-3,-1.624528259E-2
1.790000000E1,4.777710978E-1,3.994741620E-3,-2.530003026E-3
1.800000000E1,3.990746878E-1,1.384843762E-2,-8.388957402E-3
1.810000000E1,3.142530074E-1,8.921589618E-3,8.921589618E-3
1.820000000E1,2.091913028E-1,1.997370810E-2,-1.624528259E-2
1.830000000E1,9.853695996E-2,2.490055610E-2,-1.810949534E-2
1.840000000E1,4.846953166E-2,2.197107891E-2,-2.250371113E-2
1.850000000E1,2.929477188E-3,3.249056518E-2,2.463423999E-2
1.860000000E1,2.969424604E-2,2.223739502E-2,6.657902700E-3
1.870000000E1,5.898901792E-2,1.837581145E-2,1.917475978E-2
1.880000000E1,1.643170386E-1,2.476739804E-2,-2.063949837E-2
1.890000000E1,2.460760838E-1,3.262372323E-2,-3.182477491E-2
1.900000000E1,3.482083112E-1,3.222424907E-2,-3.781688734E-2
1.910000000E1,4.391552621E-1,3.089266853E-2,-1.105211848E-2
1.920000000E1,4.651210826E-1,4.301005144E-2,2.969424604E-2
1.930000000E1,4.671184534E-1,3.928162593E-2,-6.391586592E-3
1.940000000E1,4.390221040E-1,3.262372323E-2,-1.970739199E-2
1.950000000E1,3.551325300E-1,3.249056518E-2,1.571265037E-2
1.960000000E1,2.743055912E-1,2.649845275E-2,1.225054097E-2
1.970000000E1,1.764344216E-1,2.277002723E-2,-1.145159264E-2
1.980000000E1,9.920275023E-2,2.996056215E-2,3.994741620E-3
1.990000000E1,3.275688128E-2,8.655273510E-3,6.258428538E-3
2.000000000E1,5.219795717E-2,5.326322160E-3,-2.676476885E-2
