"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
1.270000000E1,1.118527654E-2,-1.078580237E-2,1.424791178E-2
1.280000000E1,6.391586592E-3,-4.660531890E-3,5.992112430E-2
1.290000000E1,2.024002421E-2,1.331580540E-4,-1.864212756E-2
1.300000000E1,8.215851932E-2,3.994741620E-4,4.860268971E-2
1.310000000E1,9.986854050E-2,5.060006052E-3,4.527373836E-3
1.320000000E1,1.657817772E-1,8.921589618E-3,3.994741620E-2
1.330000000E1,1.976065521E-1,7.989483240E-4,-4.926847998E-3
1.340000000E1,2.154497314E-1,4.261057728E-3,4.114583869E-2
1.350000000E1,2.320944881E-1,-6.391586592E-3,4.261057728E-3
1.360000000E1,1.781654763E-1,-4.261057728E-3,-2.170476280E-2
1.370000000E1,1.255680449E-1,3.861583566E-3,4.793689944E-3
1.380000000E1,6.151902095E-2,1.531317621E-2,3.408846182E-2
1.390000000E1,6.271744343E-2,-2.530003026E-3,4.367584171E-2
1.400000000E1,4.154531285E-2,-8.788431564E-3,1.012001210E-2
1.410000000E1,-7.590009078E-3,1.304948929E-2,1.784317924E-2
1.420000000E1,6.924218808E-2,1.198422486E-3,4.580637058E-2
1.430000000E1,8.202536126E-2,9.986854050E-3,5.605954073E-2
1.440000000E1,8.695220926E-2,1.624528259E-2,1.997370810E-2
1.450000000E1,1.611212453E-1,8.255799348E-3,4.540689641E-2
1.460000000E1,2.077265642E-1,1.424791178E-2,-8.482168040E-2
1.470000000E1,2.506034576E-1,-8.655273510E-3,3.302319739E-2
1.480000000E1,2.075934062E-1,3.328951350E-3,-1.877528561E-2
1.490000000E1,1.733717863E-1,6.524744646E-3,2.836266550E-2
1.500000000E1,9.880327607E-2,4.660531890E-3,6.098638873E-2
1.510000000E1,1.310275251E-1,5.725796322E-3,-4.261057728E-3
1.520000000E1,5.459480214E-2,-7.856325186E-3,3.768372928E-2
1.530000000E1,7.856325186E-3,-9.321063780E-4,1.065264432E-2
1.540000000E1,4.620584474E-2,1.344896345E-2,4.993427025E-2
1.550000000E1,2.330265945E-2,1.358212151E-2,1.877528561E-2
1.560000000E1,3.661846485E-2,-2.130528864E-3,-7.190534916E-3
1.570000000E1,9.400958612E-2,-1.597896648E-3,-1.917475978E-2
1.580000000E1,1.035969660E-1,0.000000000E0,-1.078580237E-2
1.590000000E1,1.918807558E-1,-9.587379888E-3,3.089266853E-2
1.600000000E1,1.932123364E-1,-7.989483240E-4,5.006742830E-2
1.610000000E1,2.302302754E-1,-2.663161080E-3,1.211738291E-2
1.620000000E1,1.884186464E-1,1.131843459E-2,5.938849208E-2
1.630000000E1,2.035986646E-1,6.524744646E-3,-5.459480214E-3
1.640000000E1,1.515338655E-1,-2.663161080E-4,-2.729740107E-2
1.650000000E1,9.693906331E-2,3.462109404E-3,1.890844367E-2
1.660000000E1,8.522115456E-2,8.388957402E-3,2.716424302E-2
1.670000000E1,4.940163803E-2,-2.130528864E-3,2.490055610E-2
1.680000000E1,4.647216085E-2,-2.663161080E-3,3.462109404E-3
1.690000000E1,4.527373836E-2,-5.858954376E-3,-1.118527654E-2
1.700000000E1,4.953479609E-2,5.060006052E-3,1.691107286E-2
1.710000000E1,7.443535219E-2,6.657902700E-4,8.122641294E-3
1.720000000E1,1.263669932E-1,5.459480214E-3,3.808320344E-2
1.730000000E1,1.609880873E-1,2.929477188E-3,1.251685708E-2
1.740000000E1,1.797633729E-1,6.657902700E-3,2.942792993E-2
1.750000000E1,1.921470719E-1,-6.657902700E-3,7.856325186E-3
1.760000000E1,2.249039532E-1,1.198422486E-2,5.179848301E-2
1.770000000E1,2.170476280E-1,-3.994741620E-3,3.355582961E-2
1.780000000E1,1.852228531E-1,6.791060754E-3,2.703108496E-2
1.790000000E1,1.850896951E-1,-7.590009078E-3,-3.462109404E-3
1.800000000E1,1.443433305E-1,-2.929477188E-3,-3.328951350E-3
1.810000000E1,1.217064614E-1,2.396844972E-3,-1.118527654E-2
1.820000000E1,6.817692365E-2,4.660531890E-3,4.327636755E-2
1.830000000E1,7.323692970E-2,3.595267458E-3,3.968110009E-2
1.840000000E1,2.370213361E-2,8.522115456E-3,2.836266550E-2
1.850000000E1,7.510114246E-2,-2.663161080E-3,1.451422789E-2
1.860000000E1,9.853695996E-2,-3.062635242E-3,3.581951653E-2
1.870000000E1,1.125185556E-1,3.595267458E-3,-2.530003026E-3
1.880000000E1,1.528654460E-1,-3.328951350E-3,1.624528259E-2
1.890000000E1,1.659149353E-1,1.145159264E-2,4.447479004E-2
1.900000000E1,2.190449988E-1,1.731054702E-3,4.154531285E-2
1.910000000E1,2.227734243E-1,1.864212756E-3,-6.791060754E-3
1.920000000E1,2.423476583E-1,5.060006052E-3,1.797633729E-2
1.930000000E1,2.181128925E-1,-1.997370810E-3,2.010686615E-2
1.940000000E1,2.149170992E-1,2.130528864E-3,-3.728425512E-3
1.950000000E1,1.629854581E-1,1.238369902E-2,4.261057728E-2
1.960000000E1,1.488707044E-1,-6.657902700E-4,8.921589618E-3
1.970000000E1,1.141164523E-1,4.394215782E-3,3.408846182E-2
1.980000000E1,9.560748277E-2,-6.258428538E-3,2.822950745E-2
1.990000000E1,7.936220018E-2,4.660531890E-3,3.914846788E-2
2.000000000E1,9.853695996E-2,5.326322160E-4,1.331580540E-3
2.010000000E1,5.992112430E-2,5.992112430E-3,4.753742528E-2
2.020000000E1,6.737797532E-2,1.304948929E-2,4.620584474E-2
2.030000000E1,1.315601574E-1,-9.587379888E-3,-1.171790875E-2
2.040000000E1,1.276985738E-1,1.065264432E-2,1.331580540E-4
2.050000000E1,1.966744458E-1,4.127899674E-3,2.356897556E-2
2.060000000E1,1.797633729E-1,3.062635242E-3,2.916161383E-2
2.070000000E1,2.431466066E-1,5.725796322E-3,2.743055912E-2
2.080000000E1,2.375539683E-1,-3.994741620E-3,-4.261057728E-3
2.090000000E1,2.306297495E-1,1.251685708E-2,2.530003026E-2
2.100000000E1,2.376871264E-1,-2.663161080E-4,3.062635242E-3
2.110000000E1,1.948102330E-1,1.677791480E-2,1.904160172E-2
2.120000000E1,2.411492358E-1,5.326322160E-4,3.675162290E-2
2.130000000E1,1.134506620E-1,1.864212756E-3,3.209109101E-2
2.140000000E1,1.655154611E-1,-5.193164106E-3,1.504686010E-2
2.150000000E1,9.627327304E-2,5.858954376E-3,5.099953468E-2
2.160000000E1,1.065264432E-1,-3.195793296E-3,2.663161080E-3
2.170000000E1,6.831008170E-2,-5.060006052E-3,-1.810949534E-2
2.180000000E1,1.004011727E-1,1.424791178E-2,2.569950442E-2
2.190000000E1,8.562062872E-2,3.595267458E-3,1.637844064E-2
2.200000000E1,1.245027805E-1,-4.527373836E-3,1.518001816E-2
2.210000000E1,1.463407013E-1,-3.195793296E-3,9.187905726E-3
2.220000000E1,1.442101725E-1,1.478054399E-2,3.448793599E-2
2.230000000E1,2.311623817E-1,-3.861583566E-3,-1.837581145E-2
2.240000000E1,1.834917984E-1,9.187905726E-3,2.356897556E-2
2.250000000E1,2.388855489E-1,-1.331580540E-4,2.143844669E-2
2.260000000E1,2.295644851E-1,1.624528259E-2,2.410160777E-2
2.270000000E1,2.588592570E-1,-2.649845275E-2,-3.382214572E-2
2.280000000E1,2.367550200E-1,6.924218808E-3,2.197107891E-2
2.290000000E1,2.171807861E-1,1.411475372E-2,1.757686313E-2
2.300000000E1,1.952097072E-1,1.025317016E-2,2.703108496E-2
2.310000000E1,1.801628471E-1,2.530003026E-3,3.701793901E-2
2.320000000E1,1.657817772E-1,1.864212756E-2,3.768372928E-2
2.330000000E1,1.844239048E-1,-1.091896043E-2,-3.195793296E-3
